Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
Léo Pereira,Atlético-PR,ATL,Léo Pereira,Zagueiro,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Cleberson,Atlético-PR,ATL,Cleberson,Zagueiro,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Léo,Atlético-PR,ATL,Léo,Lateral,-5.80,-5.80,1,Atlético-PR,x,Atlético-MG, 0.74,2.26,
Lucas Macanhan,Atlético-PR,ATL,Lucas Macanhan,Goleiro,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 1.00,0.00,
João Pedro,Atlético-PR,ATL,João Pedro,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 1.00,0.00,
Bruno Pereirinha,Atlético-PR,ATL,Bruno Pereirinha,Lateral,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Hernani,Atlético-PR,ATL,Hernani,Meia,-0.60,-0.60,1,Atlético-PR,x,Atlético-MG, 1.76,1.24,
Giovanny,Atlético-PR,ATL,Giovanny,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Paulinho Dias,Atlético-PR,ATL,Paulinho Dias,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 2.00,0.00,
Bruno Mota,Atlético-PR,ATL,Bruno Mota,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 2.00,0.00,
Barrientos,Atlético-PR,ATL,Barrientos,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 2.00,0.00,
Roberto,Santa Cruz,STC,Roberto,Lateral,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Yago,Atlético-PR,ATL,Yago,Atacante,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 1.00,0.00,
Bruno Rodrigues,Atlético-PR,ATL,Bruno Rodrigues,Atacante,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 1.00,0.00,
Nicolas,Atlético-PR,ATL,Nicolas,Meia,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 1.00,0.00,
Paulo Autuori,Atlético-PR,ATL,Paulo Autuori,Técnico,-1.62,-1.62,1,Atlético-PR,x,Atlético-MG, 4.69,3.31,
Luis Henrique,Botafogo,BOT,Luis Henrique,Atacante,0.00,0.00,-,Sport,x,Botafogo, 9.00,0.00,
Rodrigo Lindoso,Botafogo,BOT,Rodrigo Lindoso,Meia,5.30,5.30,1,Sport,x,Botafogo, 11.99,0.99,
Rafael Bastos,América-MG,AME,Rafael Bastos,Meia,4.60,4.60,1,Chapecoense,x,América-MG, 7.79,1.79,
Jefferson,Botafogo,BOT,Jefferson,Goleiro,0.00,0.00,-,Sport,x,Botafogo, 18.00,0.00,
Thiago Maia,Santos,SAN,Thiago Maia,Meia,1.60,1.60,1,Santos,x,Coritiba, 4.85,0.15,
Tiago Luis,América-MG,AME,Tiago Luis,Atacante,0.40,0.40,1,Chapecoense,x,América-MG, 5.44,1.56,
Salgueiro,Botafogo,BOT,Salgueiro,Atacante,0.00,0.00,1,Sport,x,Botafogo, 6.62,2.38,
Ribamar,Botafogo,BOT,Ribamar,Atacante,0.90,0.90,1,Sport,x,Botafogo, 8.02,1.98,
Gegê,Botafogo,BOT,Gegê,Meia,0.00,0.00,-,Sport,x,Botafogo, 7.00,0.00,
Joel Carli,Botafogo,BOT,Joel Carli,Zagueiro,0.00,0.00,-,Sport,x,Botafogo, 8.00,0.00,
Airton,Botafogo,BOT,Airton,Meia,0.00,0.00,-,Sport,x,Botafogo, 7.00,0.00,
Luis Ricardo,Botafogo,BOT,Luis Ricardo,Lateral,2.60,2.60,1,Sport,x,Botafogo, 5.59,0.59,
Bruno Silva,Botafogo,BOT,Bruno Silva,Meia,-0.80,-0.80,1,Sport,x,Botafogo, 3.09,1.91,
Leandrinho,Botafogo,BOT,Leandrinho,Meia,-1.80,-1.80,1,Sport,x,Botafogo, 2.35,2.65,
Calleri,São Paulo,SAO,Calleri,Atacante,0.00,0.00,-,São Paulo,x,Internacional, 27.00,0.00,
Michel Bastos,São Paulo,SAO,Michel Bastos,Meia,0.00,0.00,-,São Paulo,x,Internacional, 16.00,0.00,
Neilton,Botafogo,BOT,Neilton,Atacante,1.30,1.30,1,Sport,x,Botafogo, 4.63,0.37,
Emerson Santos,Botafogo,BOT,Emerson Santos,Zagueiro,0.00,0.00,-,Sport,x,Botafogo, 5.00,0.00,
Ganso,São Paulo,SAO,Ganso,Meia,0.00,0.00,-,São Paulo,x,Internacional, 17.00,0.00,
Sassá,Botafogo,BOT,Sassá,Atacante,0.10,0.10,1,Sport,x,Botafogo, 4.49,1.51,
Rodrigo Caio,São Paulo,SAO,Rodrigo Caio,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 15.00,0.00,
Dierson,Botafogo,BOT,Dierson,Meia,0.00,0.00,-,Sport,x,Botafogo, 3.00,0.00,
Renan Fonseca,Botafogo,BOT,Renan Fonseca,Zagueiro,-0.40,-0.40,1,Sport,x,Botafogo, 2.65,1.35,
Helton Leite,Botafogo,BOT,Helton Leite,Goleiro,1.00,1.00,1,Sport,x,Botafogo, 2.94,0.06,
Emerson Silva,Botafogo,BOT,Emerson Silva,Zagueiro,1.70,1.70,1,Sport,x,Botafogo, 3.46,0.46,
Fernandes,Botafogo,BOT,Fernandes,Meia,2.30,2.30,1,Sport,x,Botafogo, 4.63,0.63,
Diogo Barbosa,Botafogo,BOT,Diogo Barbosa,Lateral,0.00,0.00,-,Sport,x,Botafogo, 4.00,0.00,
Gervasio Núñez,Botafogo,BOT,Gervasio Núñez,Meia,0.00,0.00,-,Sport,x,Botafogo, 4.00,0.00,
Maranhão,Chapecoense,CHA,Maranhão,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 3.00,0.00,
Rogério,São Paulo,SAO,Rogério,Atacante,0.00,0.00,1,São Paulo,x,Internacional, 8.09,2.91,
Centurión,São Paulo,SAO,Centurión,Atacante,1.30,1.30,1,São Paulo,x,Internacional, 10.52,2.48,
Lugano,São Paulo,SAO,Lugano,Zagueiro,5.00,5.00,1,São Paulo,x,Internacional, 11.03,1.03,
